id,name,address,telephone
1,감인노인병원,서울특별시 강북구 삼각산로 20 (수유동),02-992-5200,
2,서울현대병원,서울특별시 강북구 도봉로 374 (번동),02-1588-6853,
3,정인노인전문병원,서울특별시 강북구 도봉로 388 2층 (번동 테마빌딩),02-992-5300,
4,신일병원,서울특별시 강북구 덕릉로 73 (수유동),02-903-5121,
5,대한병원,서울특별시 강북구 도봉로 301 (수유동),02-903-3231,
6,포근한 요양병원,서울특별시 강북구 도봉로 266 (미아동 원지빌딩),02-986-9988,
7,포근한요양병원,서울특별시 강북구 도봉로 266 3층 (미아동 원지빌딩),02-986-9988,
8,강북구보건소,서울특별시 강북구 한천로 897 (번동),02-901-6422,
9,강동성모요양병원,서울특별시 강북구 도봉로 114 (미아동),02-980-1181,
10,강북고려병원,서울특별시 강북구 도봉로 114 (미아동),02-980-1181-3,
11,서울베스트병원,서울특별시 강북구 도봉로 114 (미아동),02-980-1181,
12,한미병원,서울특별시 강북구 도봉로 114 (미아동),02-980-1181,
13,성신병원,서울특별시 강북구 도봉로 181 (미아동),02-901-3114,
14,민병원,서울특별시 강북구 도봉로 187 (미아동),02-982-3114,
15,효성요양병원,서울특별시 강북구 삼양로 204 (미아동),02-961-8275,
16,햇빛병원,서울특별시 강북구 도봉로 131 (미아동),02-983-7771,
17,햇빛여성병원,서울특별시 강북구 도봉로 131 (미아동),02-944-7771,
18,고려새한병원,서울특별시 강북구 도봉로 67 (미아동),02-2644-1313,
19,새한병원,서울특별시 강북구 도봉로 67 (미아동),02-981-5161,
20,성베드로병원,서울특별시 강북구 도봉로 67 (미아동),02-981-5161~4,
21,국립재활원,서울특별시 강북구 삼각산로 58 국립재활원,02-901-1700,
22,서울의원,서울특별시 강북구 삼양로 613 2층 (우이동),02-997-6600,
23,현의원,서울특별시 강북구 삼양로 623 2층 (우이동),02-905-7582,
24,서울연세의원,서울특별시 강북구 삼양로 509 2층 1호 (수유동),02-900-9711,
25,청신의원,서울특별시 강북구 인수봉로 55길 4 (수유동),02-900-6794,
26,맑은하늘마취통증의학과의원,"서울특별시 강북구 삼양로 497 2,3층 (수유동, 씨엘빌딩)",02-902-5896,
27,선내과의원,서울특별시 강북구 삼양로 469 2층 (수유동),02-998-7575,
28,콤마가정의원,서울특별시 강북구 삼양로 455 1층 (수유동),02-905-7559,
29,강북연세정형외과의원,"서울특별시 강북구 삼양로 437 (수유동, 성아빌딩)",02-995-8575,
30,스마일내과의원,"서울특별시 강북구 삼양로 433 2,3층 (수유동)",02-900-3375,
31,정다운소아청소년과의원,서울특별시 강북구 삼양로 462 2층 (수유동),02-992-5888,
